Rank,Title,Previous Rank,CEO,Address,Website
1,"Wal-Mart Stores, Inc.",2,Michael T. Duke,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com
2,Exxon Mobil Corporation,1,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com
3,Chevron Corporation,3,John S. Watson,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com
4,Phillips 66,-,Greg C. Garland,"3010 Briarpark Dr., Houston, TX 77042",www.phillips66.com
5,Berkshire Hathaway Inc.,7,Warren E. Buffett,"3555 Farnam St., Omaha, NE 68131",www.berkshirehathaway.com
6,"Apple, Inc.",17,Timothy D. Cook,"1 Infinite Loop, Cupertino, CA 95014",www.apple.com
7,General Motors Company,5,Daniel F. Akerson,"300 Renaissance Center, Detroit, MI 48265",www.gm.com
8,General Electric Company,6,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 6828",www.ge.com
9,Valero Energy Corporation,12,William R. Klesse,"1 Valero Way, San Antonio, TX 78249",www.valero.com
10,Ford Motor Company,9,Alan R. Mulally,"1 American Rd., Dearborn, MI 48126",www.ford.com
11,AT&T Inc.,11,Randall L. Stephenson,"208 S. Akard St., Dallas, TX 75202",www.att.com
12,Fannie Mae,8,Timothy J. Mayopoulos,"3900 Wisconsin Ave. N.W., Washington, DC 20016",www.fanniemae.com
13,CVS Caremark Corporation,18,Larry J. Merlo,"1 CVS Dr., Woonsocket, RI 2895",info.cvscaremark.com
14,McKesson Corporation,14,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com
15,Hewlett-Packard Company,10,Margaret C. Whitman,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com
16,Verizon Communications Inc.,15,Lowell C. McAdam,"140 West St., New York, NY 10007",www.verizon.com
17,UnitedHealth Group Incorporated,22,Stephen J. Hemsley,"9900 Bren Rd. E., Minnetonka, MN 55343",www.unitedhealthgroup.com
