ranking,full name,ceo,sector,industry,hq location,hq address,website
1,"Wal-Mart Stores, Inc.",C. Douglas McMillon,Retailing,General Merchandisers,"Bentonville, AR",702 S.W. Eighth St.,http://www.walmart.com
2,Exxon Mobil Corporation,Rex W. Tillerson,Energy,Petroleum Refining,"Irving, TX",5959 Las Colinas Blvd.,http://www.exxonmobil.com
3,Chevron Corporation,John S. Watson,Energy,Petroleum Refining,"San Ramon, CA",6001 Bollinger Canyon Rd.,http://www.chevron.com
4,Berkshire Hathaway Inc.,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",3555 Farnam St.,http://www.berkshirehathaway.com
5,"Apple, Inc.",Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, CA",1 Infinite Loop,http://www.apple.com
6,General Motors Company,Mary T. Barra,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI",300 Renaissance Center,http://www.gm.com
7,Phillips 66,Greg C. Garland,Energy,Petroleum Refining,"Houston, TX",3010 Briarpark Dr.,http://www.phillips66.com
8,General Electric Company,Jeffrey R. Immelt,Financials,Diversified Financials,"Fairfield, CT",3135 Easton Turnpike,http://www.ge.com
9,Ford Motor Company,Mark Fields,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, MI",1 American Rd.,http://www.ford.com
10,CVS Health Corporation,Larry J. Merlo,Food & Drug Stores,Food and Drug Stores,"Woonsocket, RI",1 CVS Dr.,http://www.cvshealth.com
11,McKesson Corporation,John H. Hammergren,Wholesalers,Wholesalers: Health Care,"San Francisco, CA",1 Post St.,http://www.mckesson.com
12,AT&T Inc.,Randall L. Stephenson,Telecommunications,Telecommunications,"Dallas, TX",208 S. Akard St.,http://www.att.com
13,Valero Energy Corporation,Joseph Gorder,Energy,Petroleum Refining,"San Antonio, TX",1 Valero Way,http://www.valero.com
14,UnitedHealth Group Incorporated,Stephen J. Hemsley,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",9900 Bren Rd. E.,http://www.unitedhealthgroup.com
15,Verizon Communications Inc.,Lowell C. McAdam,Telecommunications,Telecommunications,"New York, NY",1095 Ave. of the Americas,http://www.verizon.com
16,AmerisourceBergen Corp.,Steven H. Collis,Wholesalers,Wholesalers: Health Care,"Chesterbrook, PA",1300 Morris Dr.,http://www.amerisourcebergen.com
17,Fannie Mae,Timothy J. Mayopoulos,Financials,Diversified Financials,"Washington, DC",3900 Wisconsin Ave. N.W.,http://www.fanniemae.com
18,Costco Wholesale Corporation,W. Craig Jelinek,Retailing,Specialty Retailers: Other,"Issaquah, WA",999 Lake Dr.,http://www.costco.com
19,Hewlett-Packard Company,Dion J. Weisler,Technology,"Computers, Office Equipment","Palo Alto, CA",3000 Hanover St.,http://www.hp.com
20,The Kroger Company,W. Rodney McMullen,Food & Drug Stores,Food and Drug Stores,"Cincinnati, OH",1014 Vine St.,http://www.thekrogerco.com
21,J.P. Morgan Chase & Co.,James Dimon,Financials,Commercial Banks,"New York, NY",270 Park Ave.,http://www.jpmorganchase.com
22,Express Scripts Holding Company,Timothy C. Wentworth,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",1 Express Way,http://www.express-scripts.com
23,Bank of America Corporation,Brian T. Moynihan,Financials,Commercial Banks,"Charlotte, NC",100 N. Tryon St.,http://www.bankofamerica.com
24,International Business Machines Corporation,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, NY",1 New Orchard Rd.,http://www.ibm.com
25,Marathon Petroleum Corporation,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, OH",539 S. Main St.,http://www.marathonpetroleum.com
26,"Cardinal Health, Inc.",George S. Barrett,Wholesalers,Wholesalers: Health Care,"Dublin, OH",7000 Cardinal Place,http://www.cardinal.com
27,The Boeing Company,Dennis A. Muilenburg,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",100 N. Riverside Plaza,http://www.boeing.com
28,Citigroup Inc.,Michael L. Corbat,Financials,Commercial Banks,"New York, NY",399 Park Ave.,http://www.citigroup.com
29,"Amazon.com, Inc.",Jeffrey P. Bezos,Technology,Internet Services and Retailing,"Seattle, WA",410 Terry Ave. N.,http://www.amazon.com
